<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.15	03:45:00	3336.52	3338.78	3335.75	3337.09	2644	0	8
2025.08.15	04:00:00	3337.07	3337.66	3335.18	3336.62	3042	0	8
2025.08.15	04:15:00	3336.65	3337.14	3333.36	3336.67	2790	0	8
2025.08.15	04:30:00	3336.67	3339.01	3335.32	3338.56	3328	0	8
2025.08.15	04:45:00	3338.55	3340.25	3337.85	3339.62	2805	0	8
2025.08.15	05:00:00	3339.63	3340.06	3338.22	3338.57	2393	0	8
2025.08.15	05:15:00	3338.55	3339.22	3336.73	3338.02	2594	0	8
2025.08.15	05:30:00	3338.04	3340.17	3337.38	3339.24	2511	0	8
2025.08.15	05:45:00	3339.26	3340.85	3339.03	3340.49	2169	0	8
2025.08.15	06:00:00	3340.50	3341.04	3340.14	3340.99	1978	0	8
2025.08.15	06:15:00	3340.99	3341.11	3340.17	3340.86	1835	0	8
2025.08.15	06:30:00	3340.82	3344.32	3340.82	3342.31	2195	0	8
2025.08.15	06:45:00	3342.30	3344.82	3342.30	3343.46	1674	0	8
2025.08.15	07:00:00	3343.39	3345.45	3343.34	3345.28	2050	0	8
2025.08.15	07:15:00	3345.28	3346.29	3344.81	3345.73	1972	0	8
2025.08.15	07:30:00	3345.74	3346.68	3343.51	3345.18	2293	0	8
2025.08.15	07:45:00	3345.20	3345.60	3344.12	3345.47	1934	0	8
2025.08.15	08:00:00	3345.46	3348.75	3345.15	3345.99	2407	0	8
2025.08.15	08:15:00	3345.94	3346.02	3343.13	3343.43	2120	0	8
2025.08.15	08:30:00	3343.42	3346.82	3342.00	3346.80	2719	0	8
2025.08.15	08:45:00	3346.80	3347.39	3343.31	3343.82	2591	0	8
2025.08.15	09:00:00	3343.81	3343.94	3341.42	3342.07	3130	0	8
2025.08.15	09:15:00	3342.03	3344.08	3341.03	3341.60	2854	0	8
2025.08.15	09:30:00	3341.60	3343.99	3341.00	3341.92	2317	0	8
2025.08.15	09:45:00	3341.92	3343.54	3340.20	3340.44	2242	0	8
2025.08.15	10:00:00	3340.43	3342.92	3340.19	3342.19	2459	0	8
2025.08.15	10:15:00	3342.18	3345.92	3341.83	3344.78	2799	0	8
2025.08.15	10:30:00	3344.77	3345.22	3340.36	3343.39	3037	0	8
2025.08.15	10:45:00	3343.40	3346.62	3342.75	3346.29	3028	0	8
2025.08.15	11:00:00	3346.30	3348.28	3341.67	3341.69	3097	0	8
2025.08.15	11:15:00	3341.69	3342.37	3339.01	3339.50	3230	0	8
2025.08.15	11:30:00	3339.48	3341.42	3338.41	3339.42	2111	0	8
2025.08.15	11:45:00	3339.42	3342.85	3339.19	3341.30	2986	0	8
2025.08.15	12:00:00	3341.30	3342.35	3338.57	3339.58	3055	0	8
2025.08.15	12:15:00	3339.58	3345.00	3338.74	3344.32	2928	0	8
